SiteCode,Regions,Country,Site name,National name,Global KBA criteria,KBA Classification,Ecosystems,Latitude,Longitude,Elevation (m),Area (Km2),PA/OECM coverage (%),Legacy site,Year of assessment
100189,South America,Peru,Bosque seco entre Bagua y Bagua Grande,Bosque seco entre Bagua y Bagua Grande,"A1b,B1,B2",Global,terrestrial,-5.7041,-78.4604,500 to 2600,1445.37163,,No,2023
100191,South America,Peru,Cerro de Pasco,Cerro de Pasco,B1,Global,terrestrial,-10.7008,-76.2124,4100 to 4500,5.92282,,No,2023
100192,South America,Peru,Cerro los Calatos - Torata,Cerro los Calatos - Torata,B1,Global,terrestrial,-16.9898,-70.949,1400 to 2500,1069.93095,,No,2023
100193,South America,Peru,Chala Viejo,Chala Viejo,"A1a,A1c",Global,terrestrial,-15.763,-74.228,250 to 950,21.20457,,No,2023
100194,South America,Peru,Chira,Chira,"A1e,B1",Global,"freshwater, terrestrial",-4.7768,-80.5864,105 to 148,791.03071,,No,2023
100195,South America,Peru,Chontayacu,Chontayacu,"A1a,A1c,B1,B2",Global,terrestrial,-8.8239,-76.6991,700 to 3500,3186.52872,,No,2023
100196,South America,Peru,Alto Tambo,Alto Tambo,"A1a,A1c",Global,terrestrial,-16.072,-70.739,3500 to 4850,630.63515,,No,2023
100197,South America,Peru,Concepción,Concepción,"A1a,A1e,B1,B2",Global,terrestrial,-11.6216,-74.9861,2850 to 5050,631.53339,,No,2023
100198,South America,Peru,Ispanapata - Huallhua,Ispanapata - Huallhua,B1,Global,terrestrial,-14.886,-74.819,550 to 2400,360.99182,,No,2023
100199,South America,Peru,Huanca,Huanca,B1,Global,terrestrial,-15.146,-74.428,300 to 3600,982.8859,,No,2023
100200,South America,Peru,Huiquilla,Huiquilla,"A1a,B1",Global,terrestrial,-6.334,-78.032,1895 to 3613,74.66767,100,No,2023
100201,South America,Peru,Ilucan,Ilucan,"A1b,B1",Global,terrestrial,-6.3521,-78.8205,2450 to 3200,12.74607,,No,2023
100202,South America,Peru,Inchatoshi Kametza - Pucuta,Inchatoshi Kametza - Pucuta,"A1a,A1c,A1e,B1,B2",Global,terrestrial,-11.4269,-74.7829,1100 to 4600,692.78769,,No,2023
100203,South America,Peru,Iquitos,Iquitos,"A1a,A1b,B1,B2",Global,"terrestrial, freshwater",-4.009,-73.221,90 to 156,2353.92223,,No,2023
100204,South America,Peru,Jenaro Herrera,Jenaro Herrera,"A1a,A1b,B1,B2",Global,terrestrial,-4.865,-73.6585,200,461.5688,,No,2023
100205,South America,Peru,Kosñipata,Kosñipata,"A1a,A1b,B1,B2",Global,terrestrial,-12.9476,-71.3331,400 to 4350,3287.35863,19,No,2023
100206,South America,Peru,Kuntur Wasi,Kuntur Wasi,B1,Global,terrestrial,-7.165,-78.846,816 to 2032,29.50847,,No,2024
100207,South America,Peru,La Yunga,La Yunga,"A1a,A1e,B1",Global,terrestrial,-5.449,-78.545,600 to 1500,29.81022,,No,2023
100208,South America,Peru,Laguna Tembladera,Laguna Tembladera,"A1a,A1e",Global,"freshwater, terrestrial",-6.159,-79.311,3350 to 3850,10.00466,,No,2023
100210,South America,Peru,Megantoni,Megantoni,"A1a,A1c",Global,"terrestrial, freshwater",-12.2321,-72.3805,700 to 3500,2155.90832,,No,2023
100212,South America,Peru,Molletambo,Molletambo,B1,Global,terrestrial,-14.1577,-75.3959,450 to 3200,698.39179,,No,2023
100213,South America,Peru,Morococha,Morococha,"A1a,B1",Global,"terrestrial, freshwater",-11.644,-76.133,4213 to 5026,116.2946,,No,2023
100214,South America,Peru,Napo Curaray,Napo Curaray,"A1a,A1b,A1c,A1d,B1",Global,terrestrial,-1.6135,-75.2405,150 to 300,7751.52064,,No,2023
100218,South America,Peru,Alto Nanay - Pintuyacu - Chambira,Alto Nanay - Pintuyacu - Chambira,"A1a,A1e,B1",Global,"terrestrial, freshwater",-3.192,-74.474,120 to 250,9988.42937,,No,2023
100219,South America,Peru,Plataforma Flor de Café,Plataforma Flor de Café,"A1b,B1,B2",Global,terrestrial,-7.573,-76.385,250 to 2050,1397.67339,,No,2023
100220,South America,Peru,Pomacocha,Pomacocha,B1,Global,"terrestrial, freshwater",-11.784,-75.2338,4450 to 4600,8.5233,,No,2023
100221,South America,Peru,Lomas de Islay y Lagunas de Mejía,Lomas de Islay y Lagunas de Mejía,"A1a,A1c,A1e,B1",Global,"terrestrial, marine",-17.092,-71.747,900,1479.23008,,No,2023
100222,South America,Peru,Reserva Comunal Airo Pai,Reserva Comunal Airo Pai,B1,Global,terrestrial,-0.7339,-74.9418,200 to 250,2500.49442,,No,2023
100223,South America,Peru,Reserva Comunal Yanesha,Reserva Comunal Yanesha,"A1a,A1b,B1",Global,terrestrial,-10.3141,-75.2594,310 to 1750,343.67018,,No,2023
100224,South America,Peru,Reserva Nacional Allpahuayo Mishana y Cuenca del Río Nanay,Reserva Nacional Allpahuayo Mishana y Cuenca del Río Nanay,"A1a,A1b,B1,B2",Global,terrestrial,-3.72,-74.17,110 to 200,2821.78325,,No,2023
100225,South America,Peru,Reserva Nacional de Tumbes,Reserva Nacional de Tumbes,B2,Global,terrestrial,-3.9453,-80.2703,160 to 865,194.46388,,No,2023
100226,South America,Peru,Reserva Nacional Pucacuro,Reserva Nacional Pucacuro,"A1a,A1c,A1d",Global,terrestrial,-2.4386,-75.3291,150 to 300,6384.32477,,No,2023
100227,South America,Peru,Reserva Nacional San Fernando,Reserva Nacional San Fernando,"A1a,A1b,A1d,B2",Global,terrestrial,-14.9913,-75.3284,1500,1548.30585,,No,2023
100228,South America,Peru,Jequetepeque River,Río Jequetepeque,A1a,Global,"terrestrial, freshwater",-7.212,-78.812,704 to 2218,154.02864,,No,2023
100229,South America,Peru,Río Orosa,Río Orosa,B1,Global,"terrestrial, freshwater",-3.456,-72.086,77 to 132,4492.77772,,No,2023
100230,South America,Peru,Ampay y Río Pachachaca,Ampay y Río Pachachaca,"A1a,B1,B2",Global,"terrestrial, freshwater",-13.601,-72.938,107 to 5185,1489.98979,2.58,No,2023
100231,South America,Peru,Río Tumbes,Río Tumbes,"A1b,B1",Global,"terrestrial, freshwater",-3.696,-80.4793,8 to 346,366.91389,,No,2023
100232,South America,Peru,Sama - Miculla,Sama - Miculla,"A1a,A1b,B2",Global,"terrestrial, freshwater",-17.8564,-70.0652,700 to 4500,991.88557,,No,2023
100233,South America,Peru,San Benito,San Benito,"A1a,B1",Global,terrestrial,-7.445,-78.947,800 to 1850,24.45178,,No,2023
100234,South America,Peru,Calipuy,Calipuy,B2,Global,"terrestrial, freshwater",-8.538,-78.355,300 to 4350,1071.68356,64,No,2023
100235,South America,Peru,Sierra del Divisor,Sierra del Divisor,"A1b,A1d,B1",Global,"terrestrial, freshwater",-7.106,-74.156,140 to 396,19870.21192,,No,2023
100237,South America,Peru,Tahuamanu,Tahuamanu,B1,Global,"terrestrial, freshwater",-11.253,-70.134,294 to 390,1038.05803,,No,2023
100241,South America,Peru,Vista Alegre-Omia,Vista Alegre-Omia,"A1a,A1c,B1,B2",Global,terrestrial,-6.2478,-77.3504,1400 to 3550,502.6684,,No,2023
100242,South America,Peru,Parque Nacional Yaguas,Parque Nacional Yaguas,B1,Global,"terrestrial, freshwater",-2.816,-71.073,91 to 167,11842.74126,73.3,No,2023
100243,South America,Peru,Abanico de Pastaza,Abanico de Pastaza,"B1,B2",Global,"freshwater, terrestrial",-4.242,-75.579,100 to 250,38289.55293,,No,2023
100244,South America,Peru,Ayabaca,Ayabaca,"A1e,B2",Global,terrestrial,-4.672,-79.642,550 to 3400,2001.99139,,No,2023
100245,South America,Peru,Cordillera Negra,Cordillera Negra,"A1a,A1c,B2",Global,terrestrial,-9.748,-77.806,1000 to 4450,901.69679,,No,2023
100246,South America,Peru,Río Antabamba-Chalhuanca,Río Antabamba-Chalhuanca,"B1,B2",Global,terrestrial,-14.2,-73.152,2000 to 5100,3453.15922,,No,2023
100247,South America,Peru,Mishahuanga,Mishahuanga,"A1a,A1b,B1,B2",Global,terrestrial,-6.342,-79.145,1600 to 3700,702.63146,3,No,2023
100248,South America,Peru,Cordillera Escalera,Cordillera Escalera,"A1a,A1b,B1,B2",Global,terrestrial,-6.303,-76.349,200 to 2100,1942.92286,,No,2023
100249,South America,Peru,Parque Nacional Río Abiseo,Parque Nacional Río Abiseo,"A1b,B1,B2",Global,terrestrial,-7.7928,-77.2314,150 to 4400,2743.27412,,No,2023
100250,South America,Peru,Belén,Belén,"A1a,B1",Global,terrestrial,-14.076,-69.438,1245 to 3527,334.41825,,No,2023
100251,South America,Peru,Pueblo Shawi,Pueblo Shawi,B2,Global,terrestrial,-5.839,-76.7297,300 to 2200,581.48254,,No,2023
100252,South America,Peru,Tayabamba,Tayabamba,"A1b,B1",Global,terrestrial,-8.187,-77.24,1650 to 4350,488.49224,,No,2023
100253,South America,Peru,Tingana,Tingana,"A1a,A1b,A1c,B1,B2",Global,terrestrial,-5.9621,-76.9675,800 to 2200,617.81536,,No,2023
100254,South America,Peru,Cabeceras de Lacco Yavero,Cabeceras de Lacco Yavero,B2,Global,terrestrial,-12.548,-72.418,750 to 3900,773.6463,,No,2023
100289,South America,Peru,Casca,Casca,"A1e,B2",Global,"terrestrial, freshwater",-11.187,-75.599,2556 to 4253,49.882708,,No,2024
100290,South America,Peru,Paucartambo-Cillapata,Paucartambo-Cillapata,"A1a,A1e,B2",Global,"terrestrial, freshwater",-10.6884,-75.7426,2400 to 3800,510.823736,,No,2024
200619,South America,Peru,Laquipampa-Salas-Jayanca,Laquipampa-Salas-Jayanca,"A1a,A1d,B2",Global,terrestrial,-6.3274,-79.5359,200 to 2858,308.83796,100,,2023
200665,South America,Peru,Pueblo Awajún,Pueblo Awajún,"A1a,A1c,B1",Global,terrestrial,-5.7607,-77.1128,817 to 2229,1416.27715,0.24,,2023
200667,South America,Peru,Machu Picchu - Choquequirao,Machu Picchu - Choquequirao,"A1a,A1b,A1e,B1,B2",Global,"terrestrial, freshwater",-13.1819,-72.54,1600 to 6250,8992.98599,,,2023
200676,South America,Peru,Bella Unión,Bella Unión,"A1a,B1",Global,terrestrial,-15.355,-74.719,423 to 1650,147.31866,,,2023
200677,South America,Peru,Boshumi,Boshumi,"A1a,A1b,A1c,B1,B2",Global,terrestrial,-7.96,-76.883,28 to 4285,4381.01059,43.7,,2023
200678,South America,Peru,Bosques de Puyas de Raymondi Titankayocc,Bosques de Puyas de Raymondi Titankayocc,"A1a,A1c",Global,terrestrial,-13.557,-73.983,308 to 4258,62.75528,100,,2023
200679,South America,Peru,Callejón de Huaylash,Callejón de Huaylash,A1b,Global,terrestrial,-9.235,-77.651,2260 to 3525,260.28832,,,2023
200682,South America,Peru,Cordillera Huallanca,Cordillera Huallanca,"A1b,A1d,B2",Global,terrestrial,-10.072,-77.011,2620 to 5064,742.82261,8.4,,2023
200684,South America,Peru,Reserva Nacional Illescas,Reserva Nacional Illescas,"A1a,A1b,A1d,B1,B2",Global,terrestrial,-5.9739,-81.0432,420,575.85847,63.57,,2023
200702,South America,Peru,Moyan Palacio Forest,Bosque Moyán Palacio,A1a,Global,terrestrial,-6.035,-79.583,29 to 1845,84.59369,100,,2023
200704,South America,Peru,Eten Wetlands,Humedales de Eten,"A1a,B1",Global,terrestrial,-6.91,-79.884,5,4.27194,,,2023
200705,South America,Peru,Japu,Japu,A1b,Global,terrestrial,-13.423,-71.048,1097 to 5033,479.76098,38.95,,2023
200706,South America,Peru,Loma Ochiputur,Loma Ochiputur,"A1a,A1c,B1",Global,terrestrial,-8.179,-78.941,300 to 1094,8.83332,,,2023
200718,South America,Peru,"Sistema de Islas, Islotes y Puntas Guaneras","Sistema de Islas, Islotes y Puntas Guaneras","A1b,A1d,B1",Global,"marine, terrestrial",-10.853,-77.765,138,1408.41125,100,,2023
200788,South America,Peru,Huamachuco,Huamachuco,A1a,Global,terrestrial,-7.7934,-78.1205,2491 to 4244,158.99018,,,2024
200800,South America,Peru,Santuario Nacional Los Manglares de Tumbes,Santuario Nacional Los Manglares de Tumbes,D1a,Global,"terrestrial, marine",-3.4269,-80.2768,22,29.73903,100,,2024
200872,South America,Peru,Sandia,Sandia,"A1a,A1e,B1,B2",Global,terrestrial,-14.3199,-69.3873,1700 to 4200,521.53642,,,2024
200898,South America,Peru,Andes del Norte,Andes del Norte,"A1a,A1e,B1,B2",Global,terrestrial,-5.3943,-79.2601,1230 to 3600,4594.31563,29.53,,2024
200919,South America,Peru,Parque Nacional Cordillera Azul,Parque Nacional Cordillera Azul,"A1a,A1b,B1,B2",Global,terrestrial,-7.7261,-75.9482,215 to 2340,13538.89625,100,,2024
